booking_id,passenger_id,flight_id,route_key,airline_key,date_key,status,seat_number,total_paid_amount,payment_count
B1032,P1938,UK021,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20250903,CANCELLED,18E,0.0,0
B1033,P1987,UK026,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20250506,UNKNOWN,19A,17076.39,2
B1034,P1219,SJ179,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20251231,CONFIRMED,22F,0.0,0
B1035,P1839,6F251,cf98c283c13881769b3b684c7653eba9,143c0deac2b49915503dd16a9f5462ba,20250821,PENDING,11D,0.0,0
B1036,P1726,SJ149,89b74decd3097ce93ec4cccfa8379efc,fe10005e6631d2c82bc640a5b707027e,20251124,PENDING,5B,5144.89,1
B1037,P1220,AI188,27d0f59c48e41aa01667e01a8c02ec7b,1d96baf00ff457518c392cdbc36d081e,20260320,PENDING,33E,0.0,0
B1038,P1388,SJ093,adc4b4919d4f952851b45aa0ac117018,fe10005e6631d2c82bc640a5b707027e,20260101,PENDING,12D,0.0,0
B1039,P1553,SJ205,8a783a606a385b3bfe750ffd23c30c03,fe10005e6631d2c82bc640a5b707027e,20250821,CONFIRMED,11E,24656.690000000002,3
B1040,P1646,6F099,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,143c0deac2b49915503dd16a9f5462ba,20250808,CONFIRMED,26B,0.0,0
B1041,P1041,UK176,10db3418b17657f44f554b3a79b69f30,d813685481e1e769c9968895601aa06a,20250528,CONFIRMED,25C,23580.18,2
B1042,P1675,UK200,671c750b52cf4817ef2aa56f2ace75b0,d813685481e1e769c9968895601aa06a,20251202,CANCELLED,24F,14402.39,1
B1043,P1872,6F195,671c750b52cf4817ef2aa56f2ace75b0,143c0deac2b49915503dd16a9f5462ba,20251122,CANCELLED,8E,8291.6,1
B1044,P1282,6F174,96cabcf3c0a98d19c08ef1c8eeba1154,143c0deac2b49915503dd16a9f5462ba,20260412,PENDING,16C,1199.88,1
B1045,P1057,SJ214,127ab6733de551c1aea35612b818c8d5,fe10005e6631d2c82bc640a5b707027e,20260319,UNKNOWN,18C,6732.210000000001,2
B1046,P1813,UK059,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20251014,CONFIRMED,2C,26282.309999999998,2
B1047,P1833,6F151,27d0f59c48e41aa01667e01a8c02ec7b,143c0deac2b49915503dd16a9f5462ba,20251229,PENDING,7C,0.0,0
B1048,P1536,SJ236,382e870b93a9172b725c021a093b911d,fe10005e6631d2c82bc640a5b707027e,20250919,PENDING,18C,0.0,0
B1049,P1072,SJ153,8ff2523fe27e0b381e5ec1a14e29a704,fe10005e6631d2c82bc640a5b707027e,20250728,INVALID,3C,0.0,0
B1050,P1884,AI220,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20260115,PENDING,7D,13350.33,1
B1051,P1922,6F028,8a783a606a385b3bfe750ffd23c30c03,143c0deac2b49915503dd16a9f5462ba,20250705,CANCELLED,16A,10875.08,1
B1052,P1128,UK209,71ffb94c38439501b7cb7532b20299ce,d813685481e1e769c9968895601aa06a,20251230,CANCELLED,33B,9827.3,1
B1053,P1598,UK216,a51d75f60b5853f2ce43d68ddc769a90,d813685481e1e769c9968895601aa06a,20260401,PENDING,28B,7702.52,2
B1054,P1841,AI132,adc4b4919d4f952851b45aa0ac117018,1d96baf00ff457518c392cdbc36d081e,20260411,CANCELLED,19C,0.0,0
B1055,P1425,6F012,27d0f59c48e41aa01667e01a8c02ec7b,143c0deac2b49915503dd16a9f5462ba,20251014,CANCELLED,13F,0.0,0
B1056,P1947,UK173,71ffb94c38439501b7cb7532b20299ce,d813685481e1e769c9968895601aa06a,20260324,CANCELLED,15B,3173.87,1
B1057,P1664,SJ047,c9d4324c50c5e70095cd3e0446bcbd2d,fe10005e6631d2c82bc640a5b707027e,20250820,CANCELLED,14F,12211.199999999999,2
B1058,P1693,SJ043,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,fe10005e6631d2c82bc640a5b707027e,20251207,PENDING,8C,0.0,0
B1059,P1124,UK140,71ffb94c38439501b7cb7532b20299ce,d813685481e1e769c9968895601aa06a,20260103,CONFIRMED,23B,10839.07,1
B1060,P1066,6F086,a51d75f60b5853f2ce43d68ddc769a90,143c0deac2b49915503dd16a9f5462ba,20251230,CONFIRMED,11A,11681.98,1
B1061,P1005,6F114,127ab6733de551c1aea35612b818c8d5,143c0deac2b49915503dd16a9f5462ba,20260405,CANCELLED,19C,31579.800000000003,3
B1062,P1636,UK153,27d0f59c48e41aa01667e01a8c02ec7b,d813685481e1e769c9968895601aa06a,20250612,CANCELLED,15D,0.0,0
B1063,P1313,6F149,3994560a2c713f116680d065b7d4c478,143c0deac2b49915503dd16a9f5462ba,20250519,CANCELLED,9A,0.0,0
B1064,P1325,UK145,225fb0760ffcd1233b1e4a61a511e724,d813685481e1e769c9968895601aa06a,20250914,CONFIRMED,24E,14413.72,1
B1065,P1564,UK010,a51d75f60b5853f2ce43d68ddc769a90,d813685481e1e769c9968895601aa06a,20260306,CANCELLED,7B,0.0,0
B1066,P1577,SJ003,12a0c17677be948b58459ad87ee14879,fe10005e6631d2c82bc640a5b707027e,20251105,PENDING,1B,0.0,0
B1067,P1825,SJ160,71ffb94c38439501b7cb7532b20299ce,fe10005e6631d2c82bc640a5b707027e,20250723,PENDING,7F,17433.34,3
B1068,P1505,UK224,edec40d16277592f865f6f96d12c6237,d813685481e1e769c9968895601aa06a,20251122,PENDING,23A,5274.94,1
B1069,P1081,UK152,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20250802,CONFIRMED,16E,14992.95,1
B1070,P1598,SJ034,382e870b93a9172b725c021a093b911d,fe10005e6631d2c82bc640a5b707027e,20250922,CANCELLED,15D,5631.13,1
B1071,P1001,UK215,04f5fd88e0d3bf5692833a97649697b6,d813685481e1e769c9968895601aa06a,20251221,CANCELLED,15F,0.0,0
B1072,P1203,UK089,225fb0760ffcd1233b1e4a61a511e724,d813685481e1e769c9968895601aa06a,20250810,CANCELLED,18F,0.0,0
B1073,P1661,6F180,71ffb94c38439501b7cb7532b20299ce,143c0deac2b49915503dd16a9f5462ba,20251204,CONFIRMED,16A,0.0,0
B1074,P1804,6F188,96cabcf3c0a98d19c08ef1c8eeba1154,143c0deac2b49915503dd16a9f5462ba,20250925,CONFIRMED,7A,0.0,0
B1075,P1403,UK131,04f5fd88e0d3bf5692833a97649697b6,d813685481e1e769c9968895601aa06a,20260103,CONFIRMED,2F,0.0,0
B1076,P1102,UK055,bc77046451bd9d63487f804a25d5b6fc,d813685481e1e769c9968895601aa06a,20250504,CONFIRMED,12B,8247.5,1
B1077,P1535,UK181,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,d813685481e1e769c9968895601aa06a,20250503,PENDING,3A,11261.699999999999,2
B1078,P1367,6F077,671c750b52cf4817ef2aa56f2ace75b0,143c0deac2b49915503dd16a9f5462ba,20250921,CONFIRMED,1B,0.0,0
B1079,P1211,SJ085,9f16374b2c912e79e7314809f36c7172,fe10005e6631d2c82bc640a5b707027e,20250603,CONFIRMED,10D,0.0,0
B1080,P1576,SJ023,89b74decd3097ce93ec4cccfa8379efc,fe10005e6631d2c82bc640a5b707027e,20250605,CONFIRMED,22D,21169.42,2
B1081,P1960,SJ202,27d0f59c48e41aa01667e01a8c02ec7b,fe10005e6631d2c82bc640a5b707027e,20251113,CANCELLED,29C,0.0,0
B1082,P1208,SJ150,225fb0760ffcd1233b1e4a61a511e724,fe10005e6631d2c82bc640a5b707027e,20250909,CANCELLED,30A,0.0,0
B1083,P1762,SJ116,8a783a606a385b3bfe750ffd23c30c03,fe10005e6631d2c82bc640a5b707027e,20250512,CANCELLED,9A,6777.38,1
B1084,P1896,6F270,89b74decd3097ce93ec4cccfa8379efc,143c0deac2b49915503dd16a9f5462ba,20250614,PENDING,16E,0.0,0
B1085,P1116,UK150,8ff2523fe27e0b381e5ec1a14e29a704,d813685481e1e769c9968895601aa06a,20260324,PENDING,12A,11410.8,1
B1086,P1627,SJ237,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20260216,CONFIRMED,5D,4873.96,2
B1087,P1748,AI221,a51d75f60b5853f2ce43d68ddc769a90,1d96baf00ff457518c392cdbc36d081e,20250508,CANCELLED,2F,3191.92,2
B1088,P1477,SJ081,c43ed166a8fa9fe1e85762faa8bf124b,fe10005e6631d2c82bc640a5b707027e,20260325,PENDING,31A,7375.1,1
B1089,P1104,UK189,9f16374b2c912e79e7314809f36c7172,d813685481e1e769c9968895601aa06a,20250903,CANCELLED,25F,0.0,0
B1090,P1494,SJ068,adc4b4919d4f952851b45aa0ac117018,fe10005e6631d2c82bc640a5b707027e,20250516,PENDING,31C,0.0,0
B1091,P1770,6F043,225fb0760ffcd1233b1e4a61a511e724,143c0deac2b49915503dd16a9f5462ba,20250818,PENDING,25D,0.0,0
B1092,P1045,UK187,adc4b4919d4f952851b45aa0ac117018,d813685481e1e769c9968895601aa06a,20260318,CONFIRMED,16D,15898.93,3
B1093,P1822,UK074,04f5fd88e0d3bf5692833a97649697b6,d813685481e1e769c9968895601aa06a,20250511,CONFIRMED,25E,0.0,0
B1094,P1330,UK004,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20260107,PENDING,24C,17560.29,2
B1095,P1215,6F194,4c4c8887c010c37d7c415aee9e223b86,143c0deac2b49915503dd16a9f5462ba,20250730,CONFIRMED,14B,0.0,0
B1096,P1981,UK068,9f16374b2c912e79e7314809f36c7172,d813685481e1e769c9968895601aa06a,20260103,PENDING,12B,18163.89,2
B1097,P1959,6F017,24879a2de7527581c3dbc2294134abe5,143c0deac2b49915503dd16a9f5462ba,20250826,UNKNOWN,34F,0.0,0
B1098,P1491,6F245,24879a2de7527581c3dbc2294134abe5,143c0deac2b49915503dd16a9f5462ba,20251015,UNKNOWN,13D,10455.66,1
B1099,P1812,6F254,71ffb94c38439501b7cb7532b20299ce,143c0deac2b49915503dd16a9f5462ba,20251207,CONFIRMED,26E,0.0,0
B1100,P1921,UK077,c9d4324c50c5e70095cd3e0446bcbd2d,d813685481e1e769c9968895601aa06a,20260305,CONFIRMED,16D,0.0,0
B1101,P1844,AI029,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,1d96baf00ff457518c392cdbc36d081e,20250719,CONFIRMED,3D,2214.47,1
B1102,P1448,SJ196,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20251006,INVALID,15F,24626.690000000002,2
B1103,P1535,AI242,3994560a2c713f116680d065b7d4c478,1d96baf00ff457518c392cdbc36d081e,20250808,CANCELLED,20D,14062.55,2
B1104,P1510,AI242,3994560a2c713f116680d065b7d4c478,1d96baf00ff457518c392cdbc36d081e,20250912,CANCELLED,16E,0.0,0
B1105,P1457,SJ044,8ff2523fe27e0b381e5ec1a14e29a704,fe10005e6631d2c82bc640a5b707027e,20250911,CONFIRMED,19F,14294.21,1
B1106,P1546,UK063,dd9b7f73506b86ec79aa343e64a2fb35,d813685481e1e769c9968895601aa06a,20250901,CONFIRMED,21F,0.0,0
B1107,P1535,AI056,317ae26badc5745d08250ee7a733dd0c,1d96baf00ff457518c392cdbc36d081e,20250519,CONFIRMED,30F,0.0,0
B1108,P1539,UK207,12a0c17677be948b58459ad87ee14879,d813685481e1e769c9968895601aa06a,20251011,CANCELLED,14B,0.0,0
B1109,P1483,UK166,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20251203,CANCELLED,33D,13080.08,1
B1110,P1975,6F261,671c750b52cf4817ef2aa56f2ace75b0,143c0deac2b49915503dd16a9f5462ba,20251217,PENDING,12B,0.0,0
B1111,P1999,UK134,8a783a606a385b3bfe750ffd23c30c03,d813685481e1e769c9968895601aa06a,20251225,CANCELLED,34A,0.0,0
B1112,P1015,6F152,671c750b52cf4817ef2aa56f2ace75b0,143c0deac2b49915503dd16a9f5462ba,20251002,PENDING,27A,20662.78,2
B1113,P1570,SJ089,8a783a606a385b3bfe750ffd23c30c03,fe10005e6631d2c82bc640a5b707027e,20251123,CONFIRMED,5A,9457.62,1
B1114,P1976,6F123,96cabcf3c0a98d19c08ef1c8eeba1154,143c0deac2b49915503dd16a9f5462ba,20250926,CANCELLED,2E,8187.33,1
B1115,P1242,AI025,bc77046451bd9d63487f804a25d5b6fc,1d96baf00ff457518c392cdbc36d081e,20250823,CONFIRMED,10A,8185.02,1
B1116,P1949,6F030,04f5fd88e0d3bf5692833a97649697b6,143c0deac2b49915503dd16a9f5462ba,20251205,CONFIRMED,19B,9883.49,1
B1117,P1206,SJ222,04f5fd88e0d3bf5692833a97649697b6,fe10005e6631d2c82bc640a5b707027e,20250902,CONFIRMED,28F,24642.71,2
B1118,P1911,UK109,adc4b4919d4f952851b45aa0ac117018,d813685481e1e769c9968895601aa06a,20260403,CONFIRMED,34B,0.0,0
B1119,P1270,SJ117,71ffb94c38439501b7cb7532b20299ce,fe10005e6631d2c82bc640a5b707027e,20251125,CANCELLED,21F,22268.71,2
B1120,P1760,SJ142,24879a2de7527581c3dbc2294134abe5,fe10005e6631d2c82bc640a5b707027e,20250812,CONFIRMED,12D,2571.48,2
B1121,P1993,SJ142,24879a2de7527581c3dbc2294134abe5,fe10005e6631d2c82bc640a5b707027e,20250601,PENDING,17C,0.0,0
B1122,P1778,AI030,27d0f59c48e41aa01667e01a8c02ec7b,1d96baf00ff457518c392cdbc36d081e,20250502,CANCELLED,20B,0.0,0
B1123,P1704,6F097,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20250923,CONFIRMED,8A,14525.48,2
B1124,P1846,6F129,8ff2523fe27e0b381e5ec1a14e29a704,143c0deac2b49915503dd16a9f5462ba,20250523,CANCELLED,5C,15753.68,2
B1125,P1729,6F181,127ab6733de551c1aea35612b818c8d5,143c0deac2b49915503dd16a9f5462ba,20260115,PENDING,27E,0.0,0
B1126,P1114,AI072,3994560a2c713f116680d065b7d4c478,1d96baf00ff457518c392cdbc36d081e,20251020,CONFIRMED,10E,0.0,0
B1127,P1579,SJ154,6ae5133ee42f35cd132a43580eeb7688,fe10005e6631d2c82bc640a5b707027e,20250629,PENDING,2E,0.0,0
B1128,P1298,AI031,317ae26badc5745d08250ee7a733dd0c,1d96baf00ff457518c392cdbc36d081e,20260408,CONFIRMED,10D,0.0,0
B1129,P1836,AI031,317ae26badc5745d08250ee7a733dd0c,1d96baf00ff457518c392cdbc36d081e,20250918,PENDING,26F,12008.51,1
B1130,P1482,6F158,edec40d16277592f865f6f96d12c6237,143c0deac2b49915503dd16a9f5462ba,20251226,CONFIRMED,34E,0.0,0
B1131,P1396,6F184,382e870b93a9172b725c021a093b911d,143c0deac2b49915503dd16a9f5462ba,20250616,CANCELLED,1C,3592.91,1
B1132,P1393,UK141,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20250620,CONFIRMED,10D,4677.7,2
B1133,P1074,6F168,bc77046451bd9d63487f804a25d5b6fc,143c0deac2b49915503dd16a9f5462ba,20251229,CANCELLED,23D,14200.43,2
B1134,P1977,6F051,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20250728,CONFIRMED,34C,0.0,0
B1135,P1481,6F047,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,143c0deac2b49915503dd16a9f5462ba,20251202,CONFIRMED,20E,10501.09,1
B1136,P1102,UK156,71ffb94c38439501b7cb7532b20299ce,d813685481e1e769c9968895601aa06a,20251026,PENDING,28E,2857.01,1
B1137,P1296,AI094,cf98c283c13881769b3b684c7653eba9,1d96baf00ff457518c392cdbc36d081e,20250901,PENDING,13E,10092.76,2
B1138,P1177,AI038,89b74decd3097ce93ec4cccfa8379efc,1d96baf00ff457518c392cdbc36d081e,20250714,PENDING,6C,0.0,0
B1139,P1214,6F255,dd9b7f73506b86ec79aa343e64a2fb35,143c0deac2b49915503dd16a9f5462ba,20260119,CONFIRMED,29F,6016.05,1
B1140,P1966,SJ025,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20260123,CONFIRMED,29D,8447.38,1
B1141,P1314,SJ185,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20251028,CONFIRMED,9C,0.0,0
B1142,P1038,6F259,04f5fd88e0d3bf5692833a97649697b6,143c0deac2b49915503dd16a9f5462ba,20260121,CANCELLED,5C,4506.21,1
B1143,P1258,6F073,8ff2523fe27e0b381e5ec1a14e29a704,143c0deac2b49915503dd16a9f5462ba,20260407,CANCELLED,15A,6360.73,1
B1144,P1715,AI091,edec40d16277592f865f6f96d12c6237,1d96baf00ff457518c392cdbc36d081e,20250926,CONFIRMED,6D,0.0,0
B1145,P1006,6F191,b871fbfcad03d855bfddf41229297608,143c0deac2b49915503dd16a9f5462ba,20250823,PENDING,15D,0.0,0
B1146,P1048,UK228,317ae26badc5745d08250ee7a733dd0c,d813685481e1e769c9968895601aa06a,20250830,PENDING,25A,0.0,0
B1147,P1537,6F146,89b74decd3097ce93ec4cccfa8379efc,143c0deac2b49915503dd16a9f5462ba,20260325,PENDING,11E,0.0,0
B1148,P1160,6F068,6ae5133ee42f35cd132a43580eeb7688,143c0deac2b49915503dd16a9f5462ba,20251013,CONFIRMED,19A,0.0,0
B1149,P1868,SJ218,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20260108,PENDING,30F,12393.75,2
B1150,P1175,UK083,96cabcf3c0a98d19c08ef1c8eeba1154,d813685481e1e769c9968895601aa06a,20250925,CONFIRMED,12A,12535.73,1
B1151,P1590,SJ007,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20260118,CANCELLED,29B,0.0,0
B1152,P1001,AI077,27d0f59c48e41aa01667e01a8c02ec7b,1d96baf00ff457518c392cdbc36d081e,20250814,PENDING,27A,0.0,0
B1153,P1894,UK017,6ae5133ee42f35cd132a43580eeb7688,d813685481e1e769c9968895601aa06a,20251220,CANCELLED,8D,5774.24,1
B1154,P1454,6F229,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,143c0deac2b49915503dd16a9f5462ba,20260217,PENDING,24A,9979.51,1
B1155,P1927,6F074,c9d4324c50c5e70095cd3e0446bcbd2d,143c0deac2b49915503dd16a9f5462ba,20251008,CONFIRMED,6D,0.0,0
B1156,P1643,SJ088,edec40d16277592f865f6f96d12c6237,fe10005e6631d2c82bc640a5b707027e,20260325,CONFIRMED,5E,3413.47,1
B1157,P1275,SJ167,12a0c17677be948b58459ad87ee14879,fe10005e6631d2c82bc640a5b707027e,20250628,CONFIRMED,18B,7902.25,1
B1158,P1497,6F234,04f5fd88e0d3bf5692833a97649697b6,143c0deac2b49915503dd16a9f5462ba,20250720,CONFIRMED,22A,14265.47,1
B1159,P1628,UK071,96cabcf3c0a98d19c08ef1c8eeba1154,d813685481e1e769c9968895601aa06a,20251210,PENDING,22F,16962.75,2
B1160,P1675,AI178,cae609ae5d68de9a8792d0e2117d4ded,1d96baf00ff457518c392cdbc36d081e,20251121,CANCELLED,29A,5267.38,1
B1161,P1799,UK104,dd9b7f73506b86ec79aa343e64a2fb35,d813685481e1e769c9968895601aa06a,20251114,CONFIRMED,12A,24640.24,3
B1162,P1027,AI146,b871fbfcad03d855bfddf41229297608,1d96baf00ff457518c392cdbc36d081e,20250422,INVALID,32D,0.0,0
B1163,P1332,SJ235,04f5fd88e0d3bf5692833a97649697b6,fe10005e6631d2c82bc640a5b707027e,20251110,CANCELLED,13D,0.0,0
B1164,P1000,6F209,12a0c17677be948b58459ad87ee14879,143c0deac2b49915503dd16a9f5462ba,20250424,CONFIRMED,24A,2684.77,1
B1165,P1187,AI129,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20250820,CANCELLED,2F,43097.990000000005,4
B1166,P1055,SJ141,671c750b52cf4817ef2aa56f2ace75b0,fe10005e6631d2c82bc640a5b707027e,20260123,CONFIRMED,34D,5530.81,1
B1167,P1546,SJ018,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20260202,CANCELLED,9F,27299.79,3
B1168,P1111,UK120,bc77046451bd9d63487f804a25d5b6fc,d813685481e1e769c9968895601aa06a,20251014,CANCELLED,11C,5435.83,1
B1169,P1797,AI078,dd9b7f73506b86ec79aa343e64a2fb35,1d96baf00ff457518c392cdbc36d081e,20251115,CONFIRMED,11E,3795.6,1
B1170,P1309,AI079,cae609ae5d68de9a8792d0e2117d4ded,1d96baf00ff457518c392cdbc36d081e,20250914,PENDING,15E,0.0,0
B1171,P1035,UK087,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20250919,CANCELLED,21A,23311.04,3
B1172,P1438,UK133,04f5fd88e0d3bf5692833a97649697b6,d813685481e1e769c9968895601aa06a,20260117,CONFIRMED,8F,25477.4,3
B1173,P1728,AI222,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20250601,CANCELLED,22E,0.0,0
B1174,P1591,6F049,bc77046451bd9d63487f804a25d5b6fc,143c0deac2b49915503dd16a9f5462ba,20260412,CANCELLED,19D,0.0,0
B1175,P1825,6F105,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20260129,PENDING,27D,10654.9,1
B1176,P1594,SJ226,c9d4324c50c5e70095cd3e0446bcbd2d,fe10005e6631d2c82bc640a5b707027e,20250417,CANCELLED,7C,0.0,0
B1177,P1576,SJ227,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20250729,CANCELLED,34D,12412.89,1
B1178,P1324,6F034,04f5fd88e0d3bf5692833a97649697b6,143c0deac2b49915503dd16a9f5462ba,20260205,CONFIRMED,34E,0.0,0
B1179,P1639,SJ078,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20251003,CONFIRMED,33D,10619.52,3
B1180,P1306,AI240,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,1d96baf00ff457518c392cdbc36d081e,20260410,PENDING,22F,0.0,0
B1181,P1533,SJ002,dd9b7f73506b86ec79aa343e64a2fb35,fe10005e6631d2c82bc640a5b707027e,20260329,CANCELLED,12E,0.0,0
B1182,P1727,AI044,71ffb94c38439501b7cb7532b20299ce,1d96baf00ff457518c392cdbc36d081e,20250811,CANCELLED,3A,9005.88,1
B1183,P1618,UK076,12a0c17677be948b58459ad87ee14879,d813685481e1e769c9968895601aa06a,20250622,CANCELLED,8C,0.0,0
